관련도,연도,파일명,감사사항,감사종류,감사분야,담당부서,총매칭수,매칭키워드,첫매칭쪽,쪽수,발췌,경로
높음,2019,20190603_재해위험 급경사지 안전관리실태.pdf,재해위험 급경사지 안전관리실태,특정사안,건설/주택,,27,"정보시스템(23), 시스템운영(3), 시스템유지관리(1)",2,78,··························47(8)급경사지정보시스템구축·운영부적정(통보)·······················,2_높음\20190603_재해위험 급경사지 안전관리실태.pdf
높음,2025,20251013_4차 산업혁명 대응점검Ⅳ(정보통신 인프라 위험대비 분야).pdf,4차 산업혁명 대응점검Ⅳ(정보통신 인프라 위험대비 분야),성과,정보통신,미래전략감사3과,26,"전산시스템(5), 정보시스템(11), 시스템운영(10)",31,91,자치단체등이방재대책수립에활용할수있도록2021년3월부터홍수위험지도정보시스템(floodmap.go.kr)을통해홍수위험지도(하천범람지도‧도시,2_높음\20251013_4차 산업혁명 대응점검Ⅳ(정보통신 인프라 위험대비 분야).pdf
높음,2024,20240627_산사태·산불 등 산림재난 대비실태.pdf,산사태·산불 등 산림재난 대비실태,특정사안,산업자원,산업금융2과,26,"정보시스템(25), 시스템운영(1)",3,97,···················42[표18]취약지역관련산사태정보시스템상입력항목(2023년12월기준)·················4,2_높음\20240627_산사태·산불 등 산림재난 대비실태.pdf
높음,2022,20220908_공공앱 구축·운영 실태.pdf,공공앱 구축·운영 실태,성과,정보통신,재정경제2과,26,"정보화사업(3), 정보시스템(21), 시스템운영(2)",16,98,토행안부는2010년부터공공앱의중복투자를방지하기위해공공앱등을포함한정보화사업추진시계획수립단계에서행안부가민간서비스와의유사ㆍ중복등을검토한후검토,2_높음\20220908_공공앱 구축·운영 실태.pdf
높음,2020,20200423_노인요양시설 운영 및 관리실태.pdf,노인요양시설 운영 및 관리실태,특정사안,보건/복지,사회복지1과,26,정보시스템(26),39,171,"따르면노인요양시설은결산서를매회계연도다음해3.31.까지사회복지시설정보시스템을통해시․군․구에제출하게되어있다.이에감사원감사기간중3,516개3",2_높음\20200423_노인요양시설 운영 및 관리실태.pdf
높음,2019,20190620_관세심사 등 업무처리실태.pdf,관세심사 등 업무처리실태,특정사안,관세,재정경제2과,26,"전산시스템(2), 정보시스템(24)",5,218,(PEST)적용분야················32【그림8】심사정보시스템주요기능·······························,2_높음\20190620_관세심사 등 업무처리실태.pdf
높음,2023,20230629_게임물관리위원회 비위 의혹 관련.pdf,게임물관리위원회 비위 의혹 관련,국민제안,정보통신,국민제안1국1과,25,"정보화사업(5), 전산시스템(5), 정보시스템(14), 시스템운영(1)",10,49,가도입3)됨에따라자체등급분류사업자의온라인업무처리시스템4)과게임위전산시스템을연계하고이에대한사후관리등을하기위해추진되었다.게임위는[표1]과같,2_높음\20230629_게임물관리위원회 비위 의혹 관련.pdf
높음,2021,20210428_인천·충남지방경찰청 정기감사.pdf,인천·충남지방경찰청 정기감사,기관정기,치안/법무,행정안전3과,24,"전산시스템(1), 정보시스템(23)",13,137,조의2제1항에따르면경찰청은실종아동등에대한신고및발견체계를갖추기위한정보시스템(프로파일링시스템)을구축·운영하도록되어있음,2_높음\20210428_인천·충남지방경찰청 정기감사.pdf
높음,2020,20200716_농식품산업 육성 및 지원실태.pdf,농식품산업 육성 및 지원실태,성과,농림수산해양,산업금융2과,24,"정보화사업(1), 전산시스템(2), 정보시스템(16), 시스템운영(5)",8,92,"와농림수산식품교육문화정보원으로부터수출및외식산업지원현황및인력양성･정보시스템구축･관리와관련한자료를수집하고,한국농촌경제연구원등의전문가의견을청",2_높음\20200716_농식품산업 육성 및 지원실태.pdf
높음,2016,20161208_공직비리 기동점검Ⅱ.hwp,공직비리 기동점검Ⅱ,특정사안,공직기강,,24,"정보시스템(16), 시스템운영(8)",965,1078,":4억여원,이하“재외한국문화원홈페이지사업”이라한다)과“2016년정보시스템운영”(계약금액:11억여원,이하“2016년정보사업”이라한다)용역",2_높음\20161208_공직비리 기동점검Ⅱ.hwp
높음,2026,20260610_주요 농업정책자금 지원사업 운영실태.pdf,주요 농업정책자금 지원사업 운영실태,성과,농림수산해양,산업금융1과,23,"전산시스템(14), 정보시스템(9)",215,335,"식으로상환한경우그리고보증신청인이금융기관을직접방문하는대면방식의경우전산시스템상이체내역이남지않아“3항가”와같은분석이어려워,신규보증부대출금을교",2_높음\20260610_주요 농업정책자금 지원사업 운영실태.pdf
높음,2023,20230925_소극행정 개선 등 규제개혁 추진실태.pdf,소극행정 개선 등 규제개혁 추진실태,특정사안,공직기강,산업금융3과,22,"전산시스템(3), 정보시스템(17), 시스템운영(2)",8,216,"등민감한의사결정·정책을회피하여국민의불편과기업부담은증가①서울시택시정보시스템(STIS)분석결과,2019년이후개인택시의무단휴업,법인택시의차량",2_높음\20230925_소극행정 개선 등 규제개혁 추진실태.pdf
높음,2019,20190221_외래병해충 검역관리실태.pdf,외래병해충 검역관리실태,특정사안,보건/복지,산업금융2과,21,정보시스템(21),6,119,"황등을점검하였고,②2015년부터2018.6.30.까지식물검역통합정보시스템을활용하여검역대장과검역처분을대사하는등으로규제병해충이검출된물품에대",2_높음\20190221_외래병해충 검역관리실태.pdf
높음,2021,20210722_외국인 출입국 등 관리실태.pdf,외국인 출입국 등 관리실태,성과,치안/법무,행정안전2과,20,"전산시스템(7), 정보시스템(12), 시스템운영(1)",40,94,과같다.[그림1]출국조치등심사결정및입국규제과정○담당자가출입국관리정보시스템(ICRM)42)에서입건처리(사건번호생성)⇩○심사대상자면담및처분,2_높음\20210722_외국인 출입국 등 관리실태.pdf
높음,2020,20200428_납세자 권리보호 실태.pdf,납세자 권리보호 실태,특정사안,국세,재정경제4과,20,"전산시스템(6), 정보시스템(14)",13,100,"획1팀)은전자민원작성기가설치된50개민원봉사실의대기번호정보를국세청전산시스템과연계하는방식으로별도의예산집행없이민원인대기인원조회서비스를구축,2",2_높음\20200428_납세자 권리보호 실태.pdf
높음,2019,20190711_중소벤처기업진흥공단 기관운영감사.pdf,중소벤처기업진흥공단 기관운영감사,기관정기,기타,산업금융1과,20,전산시스템(20),9,166,"부실징후를확인,지역본·지부에통보하였으나조사미실시(1,548건)▪전산시스템이제대로구축되지않아사고대출의상시적인문제파악이곤란하고,내부감사에서",2_높음\20190711_중소벤처기업진흥공단 기관운영감사.pdf
높음,2018,20180605_응급의료센터 구축 및 운영실태.pdf,응급의료센터 구축 및 운영실태,특정사안,보건/복지,사회복지1과,20,"전산시스템(1), 정보시스템(19)",9,109,가능여부등을수집하고이를119구급대및의료기관에제공하는‘응급의료자원정보시스템’을구축하여구급대원과응급의료기관의이송또는전원병원선택을지원하고있다,2_높음\20180605_응급의료센터 구축 및 운영실태.pdf
높음,2017,20170411_공적자금 지원 금융기관 관리 실태.hwp,공적자금 지원 금융기관 관리 실태,특정사안,금융,산업금융4과,20,전산시스템(20),6707,9135,"수협은행은지도경제부문과회원조합이공동으로이용하는전산시스템을통합구축하고,전산설비와인력운용에소요되는전산운영비및인건비등(이하",2_높음\20170411_공적자금 지원 금융기관 관리 실태.hwp
높음,2020,20200421_북한이탈주민 정착지원실태.pdf,북한이탈주민 정착지원실태,특정사안,노동,행정안전4과,15,정보시스템(15),2,57,(통보)··························37(5)정보시스템보안취약점등개선이행부적정(주의)················43,2_높음\20200421_북한이탈주민 정착지원실태.pdf
높음,2019,20190514_국가 금연지원사업 추진실태.pdf,국가 금연지원사업 추진실태,특정사안,보건/복지,사회복지1과,13,"전산시스템(1), 정보시스템(12)",4,51,선방향을모색하기위해보건복지부와국민건강보험공단으로부터금연서비스통합정보시스템과금연치료지원시스템의2015~2018년사업참여자(200만여명)자,2_높음\20190514_국가 금연지원사업 추진실태.pdf
높음,2019,20190604_지역토착비리 등 기동점검 Ⅲ.pdf,지역토착비리 등 기동점검 Ⅲ,특정사안,공직기강,,11,정보시스템(11),34,52,14.7.5.부터2017.7.4.까지주요정보통신기반시설인항만운영정보시스템52)등업무시스템(37개)의운영과전산인프라(하드웨어·소프트웨어),2_높음\20190604_지역토착비리 등 기동점검 Ⅲ.pdf
높음,2023,20230712_변상판정 청구사항 조사 및 처리.pdf,변상판정 청구사항 조사 및 처리,기타(서면),기타,지방행정1국1과,8,"전산시스템(2), 정보시스템(6)",9,31,"어있지않았으므로회계관계직원이아니고,②휴업급여대위청구업무처리를위한전산시스템이제대로구축되어있지않아업무담당자가산업재해승인을받은직원들을대상으로",2_높음\20230712_변상판정 청구사항 조사 및 처리.pdf
높음,2022,20221116_이천시 정기감사.pdf,이천시 정기감사,기관정기,지방자치단체,지방행정1국4과,8,정보시스템(8),17,28,리규정｣(국토교통부예규)제7장제2호에따르면건설업등록관청은건설행정정보시스템을통해국토교통부로부터통보받은건설업등록기준위반혐의업체에대한조사를하,2_높음\20221116_이천시 정기감사.pdf
높음,2021,20210610_한국과학기술원 전문연구요원 채용 실태.pdf,한국과학기술원 전문연구요원 채용 실태,특정사안,과학기술,재정경제2과,7,정보시스템(7),8,35,으로별정직연구원등직원을채용하여야하고한국과기원홈페이지및공공기관채용정보시스템에15일이상채용공고를게시하도록되어있다.,2_높음\20210610_한국과학기술원 전문연구요원 채용 실태.pdf
높음,2023,20230308_법인 회생채권 미신고 관련 변상판정 청구.pdf,법인 회생채권 미신고 관련 변상판정 청구,기타(서면),기타,사회복지3과,3,"전산시스템(2), 정보시스템(1)",9,15,"연체금)을모두포함하여신고하도록명시되어있다.한편,건보공단이운영하는전산시스템은‘보5)대법원2011.9.8.선고2011다34521판결",2_높음\20230308_법인 회생채권 미신고 관련 변상판정 청구.pdf
