연도,보고서,지적사항,처분,출처,제목내키워드
2022,20220531_2021회계연도 국가결산검사.zip,업무추진비 집행 부적정,주의,주의,
2022,20220531_2021회계연도 국가결산검사.zip,기본조사설계비 자체전용 부적정,주의,주의,
2022,20220531_2021회계연도 국가결산검사.zip,용역계약 관련 업무 처리 부적정,주의,주의,
2022,20220531_2021회계연도 국가결산검사.zip,관서운영경비 집행 부적정,주의,주의,
2022,20220531_2021회계연도 국가결산검사.zip,수의계약 업무 처리 부적정,주의,주의,
2022,20220315_보훈특별고용 제도 운용실태.pdf,가-2) 취업지원 성과평가 지표 불합리,통보,통보,
2022,20220315_보훈특별고용 제도 운용실태.pdf,나-1) 보훈특별고용 직종(일자리) 확보 기준 미비,통보,통보,
2022,20220315_보훈특별고용 제도 운용실태.pdf,보훈특별고용 단수추천 규정 및 추천희망조사 기준 미비,통보,통보,
2022,20220315_보훈특별고용 제도 운용실태.pdf,보훈특별고용 채용정보 공개 및 추천희망의사 확인 절차 미비,통보,통보,
2022,20220315_보훈특별고용 제도 운용실태.pdf,보훈특별고용명령 및 과태료 부과 기준 마련 필요,통보,통보,
2022,20220315_보훈특별고용 제도 운용실태.pdf,보훈특별고용 불합격자에 대한 채용심사결과 회신규정 마련 필요,통보,통보,
2022,20220315_보훈특별고용 제도 운용실태.pdf,다-3) 단기퇴직자 취업지원 제한업무 지도·감독 부적정,주의,주의,
2021,20211221_외항 화물 운송사업 지원 및 관리실태.pdf,2-1) 국가필수선박제도운영및손실보상금지급규정불합리(통보),,목차,
2021,20211221_외항 화물 운송사업 지원 및 관리실태.pdf,3-2) 선박매입후재임대(S&LB) 사업사후관리부적정(통보),,목차,
2021,20211221_외항 화물 운송사업 지원 및 관리실태.pdf,3-3) 친환경설비개량이차보전사업관련특별보증업무처리부적정(통보),,목차,
2021,20211221_외항 화물 운송사업 지원 및 관리실태.pdf,[표19] 연도별해운종합정보시스템개선사업추진경과,,목차,정보시스템
2021,20211221_외항 화물 운송사업 지원 및 관리실태.pdf,2-1) 국가필수선박제도운영및손실보상금지급규정불합리,통보,통보,
2021,20211221_외항 화물 운송사업 지원 및 관리실태.pdf,LB) 사업사후관리부적정,통보,통보,
2021,20211221_외항 화물 운송사업 지원 및 관리실태.pdf,3-3) 친환경설비개량이차보전사업관련특별보증업무처리부적정,통보,통보,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,행정지원시스템운영부적정(통보),,목차,시스템운영
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,전지휴가제도법적근거미비(통보),,목차,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,시설정비사업계약업무부적정(주의),,목차,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,행정직원운영및보수지급부적정(주의),,목차,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,베트남대도시거주자복수사증제도도입부적정(주의),,목차,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,사증심사및발급업무부적정(주의),,목차,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,해외법률전문가자문경비지원부적정(통보),,목차,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,영상회의시스템이용부적정(주의),,목차,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,재외공관비전자문서관리·감독부적정(주의),,목차,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,행정지원시스템운영부적정,통보,통보,시스템운영
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,전지휴가제도법적근거미비,통보,통보,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,재외공관행정직원성과급예산편성및지급기준수립부적정,통보,통보,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,시설정비사업계약업무부적정,주의,주의,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,행정직원운영및보수지급부적정,주의,주의,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,베트남대도시거주자복수사증제도도입부적정,주의,주의,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,사증심사및발급업무부적정,주의,주의,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,해외법률전문가자문경비지원부적정,통보,통보,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,영상회의시스템이용부적정,주의,주의,
2021,20211019_재외공관에 대한 감사(비대면 시범감사).pdf,재외공관비전자문서관리·감독부적정,주의,주의,
2021,20211013_한국교육학술정보원 정기감사.pdf,학생부나이스기능개선사업개발비산정업무부당처리(문책),,목차,
2021,20211013_한국교육학술정보원 정기감사.pdf,K-에듀파인응용소프트웨어유지관리사업추진부적정(주의),,목차,
2021,20211013_한국교육학술정보원 정기감사.pdf,기관운영비운용부적정(주의),,목차,
2021,20211013_한국교육학술정보원 정기감사.pdf,고등교육교수학습자료공동활용체제운영미흡(통보),,목차,
2021,20211013_한국교육학술정보원 정기감사.pdf,지원부서인건비예산편성불합리(통보),,목차,
2021,20211013_한국교육학술정보원 정기감사.pdf,유급휴일(창립기념일) 관련규정부적정(통보),,목차,
2021,20211013_한국교육학술정보원 정기감사.pdf,학생부나이스기능개선사업개발비산정업무부당처리,문책,문책,
2021,20211013_한국교육학술정보원 정기감사.pdf,K-에듀파인응용소프트웨어유지관리사업추진부적정,주의,주의,
2021,20211013_한국교육학술정보원 정기감사.pdf,기관운영비운용부적정,주의,주의,
2021,20211013_한국교육학술정보원 정기감사.pdf,고등교육교수학습자료공동활용체제운영미흡,통보,통보,
2021,20211013_한국교육학술정보원 정기감사.pdf,지원부서인건비예산편성불합리,통보,통보,
2021,20211013_한국교육학술정보원 정기감사.pdf,유급휴일(창립기념일) 관련규정부적정,통보,통보,
2021,20210907_도시지역 저류시설 안전관리실태.pdf,지역별방재성능목표설정기준부적정,,목차,
2021,20210907_도시지역 저류시설 안전관리실태.pdf,침수흔적도작성및관리업무부적정,,목차,
2021,20210907_도시지역 저류시설 안전관리실태.pdf,우수저류시설설치사업추진업무부적정,,목차,
2021,20210907_도시지역 저류시설 안전관리실태.pdf,분류식우수관로와빗물펌프장안전관리부실,,목차,
2021,20210907_도시지역 저류시설 안전관리실태.pdf,제1·2종시설물빗물펌프장안전관리부적정,,목차,
2021,20210907_도시지역 저류시설 안전관리실태.pdf,빗물펌프장피뢰설비유지관리방안마련필요,,목차,
2021,20210907_도시지역 저류시설 안전관리실태.pdf,집중강우중점관리구역선정부적정,,목차,
2021,20210722_외국인 출입국 등 관리실태.pdf,수사 중인 외국인에 대한 출입국 제한업무 처리 부적정,,목차,
2021,20210722_외국인 출입국 등 관리실태.pdf,벌금형 선고 외국인에 대한 출국조치의 일관성 미흡,,목차,
2021,20210722_외국인 출입국 등 관리실태.pdf,강제퇴거 대상 외국인의 체불임금 수령 지원 필요,,목차,
2021,20210722_외국인 출입국 등 관리실태.pdf,외국인 범죄자에 대한 입국금지 조치 지연,,목차,
2021,20210722_외국인 출입국 등 관리실태.pdf,외국인 범죄자에 대한 제재업무 부당 처리,,목차,
2021,20210722_외국인 출입국 등 관리실태.pdf,국세 체납 외국인에 대한 체류허가 제한업무 처리 부적정,,목차,
2021,20210722_외국인 출입국 등 관리실태.pdf,국세 체납 외국인에 대한 출국정지 요청 등 처리 부적정,,목차,
2021,20210722_외국인 출입국 등 관리실태.pdf,완전출국 외국인 등 명의 차량에 대한 관리 부적정,,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,이용자만족도반영등어린이집평가척도개선필요(통보),,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,복지급여누락자발굴·지원업무부적정(통보),,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,직원채용업무부당처리(문책),,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,직원채용서류전형평가부적정(주의),,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,협상에의한계약추진시긴급입찰공고부적정(주의),,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,내부및경영평가성과급지급부적정(통보),,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,개원기념일의유급휴일운영부적정(통보),,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,보육교직원허위등록등방지대책마련필요(통보),,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,양육수당등수급관리에국외입양자료활용필요(통보),,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,마련필요(통보),,목차,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,이용자만족도반영등어린이집평가척도개선필요,통보,통보,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,복지급여누락자발굴·지원업무부적정,통보,통보,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,직원채용업무부당처리,문책,문책,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,직원채용서류전형평가부적정,주의,주의,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,협상에의한계약추진시긴급입찰공고부적정,주의,주의,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,내부및경영평가성과급지급부적정,통보,통보,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,개원기념일의유급휴일운영부적정,통보,통보,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,보육교직원허위등록등방지대책마련필요,통보,통보,
2021,20210720_한국보육진흥원 및 한국사회보장정보원에 대한 감사.pdf,양육수당등수급관리에국외입양자료활용필요,통보,통보,
2021,20210706_이륜자동차 관리실태.pdf,[표 14] 산재보험 제도개선 내용,,목차,
2021,20210706_이륜자동차 관리실태.pdf,[표 23] 이륜자동차 배출가스 정기검사 대상 및 오류 현황,,목차,
2021,20210624_복지사업 협의·조정제도 운영실태.pdf,[표22] 협의누락복지사업현황,,목차,
2021,20210531_2020회계연도 국가결산검사.zip,납세조합교부금등예산편성및집행부적정(주의),,목차,
2021,20210531_2020회계연도 국가결산검사.zip,방사선감시기운영예산편성및집행부적정(주의),,목차,
2021,20210531_2020회계연도 국가결산검사.zip,업무추진비집행부적정(주의),,목차,
2021,20210531_2020회계연도 국가결산검사.zip,협상에의한계약의입찰공고부적정(주의),,목차,
2021,20210531_2020회계연도 국가결산검사.zip,납세조합교부금등예산편성및집행부적정,주의,주의,
2021,20210531_2020회계연도 국가결산검사.zip,방사선감시기운영예산편성및집행부적정,주의,주의,
2021,20210531_2020회계연도 국가결산검사.zip,업무추진비집행부적정,주의,주의,
2021,20210531_2020회계연도 국가결산검사.zip,협상에의한계약의입찰공고부적정,주의,주의,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,간부 주거시설 소요산정 및 사업관리 부적정,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,병영생활관 현대화사업 추진 부적정,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,지형도면 등 전산자료 작성지침 미비,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,군사시설보호구역 해제심의 및 사후관리 부적정,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,국방부 국유재산대장 관리 및 실태조사 업무 부적정,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,재활용 군용지 관리 부적정,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,국방․군사시설이전 특별회계 세입처리 및 국유재산 매각업무 부적정,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,국방․군사시설이전 특별회계 잉여금 관리 부적정,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,건설사업관리용역 사업수행능력 세부평가기준 불합리,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,군 활주로 재포장 시설공사 입찰참가자격 평가배점 불합리,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,건설사업관리 기술인 배치 및 지도․감독 부적정,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,허위 경력을 신고한 군 출신 건설기술인에 대한 조치 부적정,,목차,
2021,20210527_군사시설 사업추진 및 관리실태.pdf,이동식 방호벽 구매계약․관리 등 업무처리 부적정,,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,교통단속장비에 대한 정밀점검의 실효성 미흡(통보),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,경력직 경쟁채용 서류전형 심사업무 처리 부적정(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,외부강의 신고 등 복무관리 부적정(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,징계부가금 과소 부과요구 부적정(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,무인 교통단속장비 유지·보수업체 관리·감독 부적정(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,국유재산 사용료 산정 등 부적정(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,공공요금 예산 집행 잔액 처리 부적정(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,범칙금 등 체납자에 대한 국제운전면허증 발급 부적정(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,총포·도검·분사기 등 소지허가자 사후관리 미흡(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,유실물 폐기 및 매각 등 처리업무 부적정(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,성매매업소 건물주에 대한 건물제공행위 중단 통지 미이행(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,행정기관 고발사건을 수사 착수 없이 방치(주의),,목차,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,기관 간 ‘보호시설 입소 실종자 정보’ 등 연계·공유 미흡,통보,통보,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,총포 등 제조·판매업자 결격사유 판단 및 사후관리 제도 부적정,통보,통보,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,교통단속장비에 대한 정밀점검의 실효성 미흡,통보,통보,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,경력직 경쟁채용 서류전형 심사업무 처리 부적정,주의,주의,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,외부강의 신고 등 복무관리 부적정,주의,주의,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,징계부가금 과소 부과요구 부적정,주의,주의,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,무인 교통단속장비 유지·보수업체 관리·감독 부적정,주의,주의,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,국유재산 사용료 산정 등 부적정,주의,주의,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,공공요금 예산 집행 잔액 처리 부적정,주의,주의,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,범칙금 등 체납자에 대한 국제운전면허증 발급 부적정,주의,주의,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,총포·도검·분사기 등 소지허가자 사후관리 미흡,주의,주의,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,유실물 폐기 및 매각 등 처리업무 부적정,주의,주의,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,성매매업소 건물주에 대한 건물제공행위 중단 통지 미이행,주의,주의,
2021,20210428_인천·충남지방경찰청 정기감사.pdf,행정기관 고발사건을 수사 착수 없이 방치,주의,주의,
2020,20200716_농식품산업 육성 및 지원실태.pdf,[표25] 인터넷주소의확인및수정이필요한자료,,목차,
2020,20200716_농식품산업 육성 및 지원실태.pdf,식품 수출입 통계 조사 및 작성 부적정,통보,통보,
2020,20200716_농식품산업 육성 및 지원실태.pdf,국가식품클러스터 내 소스산업화센터에 대한 시설관리 업무 미흡,통보,통보,
2020,20200716_농식품산업 육성 및 지원실태.pdf,한식콘텐츠 수집 및 활용 부적정,통보,통보,
2020,20200716_농식품산업 육성 및 지원실태.pdf,식품산업의 국산원료 사용 제고를 위한 주요 원료별 지원방안 마련 미흡,통보,통보,
2020,20200716_농식품산업 육성 및 지원실태.pdf,식품가공원료 매입자금의 우대금리제도 운용 부적정,통보,통보,
2020,20200716_농식품산업 육성 및 지원실태.pdf,전통발효식품산업 실태조사 및 활성화 정책 추진 미흡,통보,통보,
2020,20200716_농식품산업 육성 및 지원실태.pdf,농식품 수출시장 다변화사업 추진 불합리,통보,통보,
2020,20200716_농식품산업 육성 및 지원실태.pdf,미래클 제품 선정 관련 해외안테나숍 활용 부적정,통보,통보,
2020,20200601_2019회계연도 국가결산검사.zip,임대형민간투자사업장기수선충당금관리규정미비(통보),,목차,
2020,20200601_2019회계연도 국가결산검사.zip,용역계약업무처리부적정(주의),,목차,
2020,20200601_2019회계연도 국가결산검사.zip,관서운영경비집행부적정(주의),,목차,
2020,20200601_2019회계연도 국가결산검사.zip,주거용재산운용부적정(통보),,목차,
2020,20200601_2019회계연도 국가결산검사.zip,소송비용회수업무처리부적정(통보),,목차,
2020,20200601_2019회계연도 국가결산검사.zip,예비금등세출예산편성및집행부적정(주의),,목차,
2020,20200601_2019회계연도 국가결산검사.zip,감사처리단계공개업무부적정(주의),,목차,
2020,20200601_2019회계연도 국가결산검사.zip,연구용역계약업무처리부적정(주의2),,목차,
2020,20200601_2019회계연도 국가결산검사.zip,④ 부채 누락 및 중복 계상 등 오류,,목차,
2020,20200601_2019회계연도 국가결산검사.zip,임대형민간투자사업장기수선충당금관리규정미비,통보,통보,
2020,20200601_2019회계연도 국가결산검사.zip,용역계약업무처리부적정,주의,주의,
2020,20200601_2019회계연도 국가결산검사.zip,관서운영경비집행부적정,주의,주의,
2020,20200601_2019회계연도 국가결산검사.zip,주거용재산운용부적정,통보,통보,
2020,20200601_2019회계연도 국가결산검사.zip,소송비용회수업무처리부적정,통보,통보,
2020,20200601_2019회계연도 국가결산검사.zip,예비금등세출예산편성및집행부적정,주의,주의,
2020,20200601_2019회계연도 국가결산검사.zip,실지감사예고통지범위확대필요,통보,통보,
2020,20200601_2019회계연도 국가결산검사.zip,감사처리단계공개업무부적정,주의,주의,
2020,20200601_2019회계연도 국가결산검사.zip,연구용역계약업무처리부적정,주의2,주의2,
2020,20200428_납세자 권리보호 실태.pdf,정규증빙미수취가산세과다징수(통보),,목차,
2020,20200428_납세자 권리보호 실태.pdf,세금계산서관련가산세과다부과(통보),,목차,
2020,20200428_납세자 권리보호 실태.pdf,과세전적부심심사결과미공개부적정(통보),,목차,
2020,20200428_납세자 권리보호 실태.pdf,고충민원대상공개등운영부적정(통보),,목차,
2020,20200428_납세자 권리보호 실태.pdf,세무사등국선대리인지원업무처리부적정(주의),,목차,
2020,20200428_납세자 권리보호 실태.pdf,정규증빙미수취가산세과다징수,통보,통보,
2020,20200428_납세자 권리보호 실태.pdf,세금계산서관련가산세과다부과,통보,통보,
2020,20200428_납세자 권리보호 실태.pdf,과세전적부심심사결과미공개부적정,통보,통보,
2020,20200428_납세자 권리보호 실태.pdf,고충민원대상공개등운영부적정,통보,통보,
2020,20200428_납세자 권리보호 실태.pdf,세무사등국선대리인지원업무처리부적정,주의,주의,
2020,20200421_북한이탈주민 정착지원실태.pdf,북한이탈주민취업지원을위한기관간협력등미흡(통보),,목차,
2020,20200421_북한이탈주민 정착지원실태.pdf,북한이탈주민자산형성지원제도운영부적정(통보),,목차,
2020,20200421_북한이탈주민 정착지원실태.pdf,북한이탈주민정착실태조사결과등활용미흡(통보),,목차,
2020,20200421_북한이탈주민 정착지원실태.pdf,북한이탈주민교육비지원사업운영부적정(통보),,목차,
2020,20200421_북한이탈주민 정착지원실태.pdf,정보시스템보안취약점등개선이행부적정(주의),,목차,정보시스템
2020,20200421_북한이탈주민 정착지원실태.pdf,소규모창업연계형사업수강료지원에대한관리부적정(통보),,목차,
2020,20200421_북한이탈주민 정착지원실태.pdf,교정시설재소자에대한사례관리미흡(통보),,목차,
2020,20200421_북한이탈주민 정착지원실태.pdf,북한이탈주민취업지원을위한기관간협력등미흡,통보,통보,
2020,20200421_북한이탈주민 정착지원실태.pdf,북한이탈주민자산형성지원제도운영부적정,통보,통보,
2020,20200421_북한이탈주민 정착지원실태.pdf,북한이탈주민정착실태조사결과등활용미흡,통보,통보,
2020,20200421_북한이탈주민 정착지원실태.pdf,북한이탈주민교육비지원사업운영부적정,통보,통보,
2020,20200421_북한이탈주민 정착지원실태.pdf,정보시스템보안취약점등개선이행부적정,주의,주의,정보시스템
2020,20200421_북한이탈주민 정착지원실태.pdf,소규모창업연계형사업수강료지원에대한관리부적정,통보,통보,
2020,20200421_북한이탈주민 정착지원실태.pdf,교정시설재소자에대한사례관리미흡,통보,통보,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,공공기관불공정관행개선대책추진현황,,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,낙찰후계약미체결자의입찰보증금반환부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,사후환경영향조사용역대가기준불합리(제도상개선),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,상수도관로공사가시설토공사비부담부적정(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,리츠사업지반조사용역비용청구부적정(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,건설폐기물처리비용부담부적정(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,감독차량운영비편성및관리부적정(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,덤프트럭임대차계약서확인부적정(주의3),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,사옥신축공사계약업무처리부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,전력설비신뢰성평가시험용역감독업무등부당수행(문책),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,안전진단용역범위외과업지시등부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,위탁운영상업시설의수수료산정부적정(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,정기기술지원협약체결부적정(주의6),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,매립지등임차자결정불합리(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,부정당업자와수의계약체결부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,제2여객터미널홍보시설설치공사설계변경부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,철도차량제작감독업무위탁용역의기술제안서검토업무부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,발전비용평가를위한성능시험기준불합리(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,발전기비동기투입방지대책마련미흡(통보4),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,상생결제제도이행관리미흡(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,불공정임대차계약조항부적정(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,공모전관련저작권귀속부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,소규모계약에대한수행실적제한부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,협상에의한계약의제안서제출방법부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,용역계약선금과소지급(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,비축농산물공매낙찰대금납입기간불합리(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,준공식등행사비전가부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,단가계약계약보증금징수업무처리부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,배전공가준공검사처리지연부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,현장설명불참자의입찰참가자격제한부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,입찰참가업체사전등록제도운용부적정(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,관광단지공동시설분담금징수규정불합리(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,심판처분에대한재심청구보증금제도불합리(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,산업안전보건관리비및안전관리비과소계상(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,용역·물품계약의하자보수보증금률규정미비(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,구조물보수공사실적제한부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,건설공사대장전자통보제도운영지도․감독미흡(통보),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,용역적격심사세부기준부적정(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,한전배전공사대금지연지급(주의),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,시설부담금정산업무부적정(시정),,목차,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,고속도로휴게소개선사업비의운영업체전가부적정,통보,통보,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,전세금안심대출보증의대출특약보증료율산정부적정,통보,통보,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,용역정지기간에대한지연보상금미지급,통보,통보,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,낙찰후계약미체결자의입찰보증금반환부적정,주의,주의,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,상수도관로공사가시설토공사비부담부적정,통보,통보,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,리츠사업지반조사용역비용청구부적정,통보,통보,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,건설폐기물처리비용부담부적정,통보,통보,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,감독차량운영비편성및관리부적정,통보,통보,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,전문공사업(시설물유지관리업) 배제등입찰참가자격과다제한,주의,주의,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,덤프트럭임대차계약서확인부적정,주의3,주의3,
2019,20191226_공공기관 불공정관행 및 규제 점검Ⅰ~Ⅳ.zip,사옥신축공사계약업무처리부적정,주의,주의,
